Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1982-07-02,84.35,84.35,84.18,84.22,,84.22,515.0,5398.0
1982-07-06,84.53,84.53,84.26,84.3,,84.3,581.0,5425.0
1982-07-07,84.21,84.39,84.09,84.39,,84.39,654.0,5437.0
1982-07-08,84.43,84.99,84.43,84.91,,84.91,917.0,5336.0
1982-07-09,85.01,85.22,85.0,85.04,,85.04,866.0,5172.0
1982-07-12,85.6,85.6,85.16,85.21,,85.21,1268.0,5104.0
1982-07-13,85.11,85.21,84.86,84.93,,84.93,953.0,4874.0
1982-07-14,84.86,85.07,84.83,84.87,,84.87,363.0,4862.0
1982-07-15,84.95,85.14,84.94,85.05,,85.05,524.0,4698.0
1982-07-16,85.06,85.62,85.03,85.6,,85.6,678.0,4650.0
1982-07-19,85.75,85.79,85.51,85.56,,85.56,566.0,4654.0
1982-07-20,85.75,86.07,85.7,85.86,,85.86,854.0,4748.0
1982-07-21,85.95,86.08,85.65,85.65,,85.65,1029.0,4685.0
1982-07-22,85.62,86.06,85.53,86.04,,86.04,986.0,4780.0
1982-07-23,86.17,86.28,86.15,86.17,,86.17,1022.0,4696.0
1982-07-26,86.02,86.05,85.85,85.89,,85.89,1205.0,4642.0
1982-07-27,85.75,85.85,85.68,85.77,,85.77,929.0,4530.0
1982-07-28,85.62,85.74,85.57,85.61,,85.61,825.0,4317.0
1982-07-29,85.65,85.88,85.65,85.82,,85.82,574.0,4315.0
1982-07-30,86.0,86.15,86.0,86.11,,86.11,794.0,4315.0
1982-08-02,86.75,86.87,86.61,86.83,,86.83,1208.0,4262.0
1982-08-03,86.9,86.9,86.47,86.49,,86.49,1074.0,4298.0
1982-08-04,86.45,86.69,86.41,86.67,,86.67,694.0,4265.0
1982-08-05,86.67,86.67,86.47,86.6,,86.6,401.0,4285.0
1982-08-06,86.52,86.55,86.32,86.34,,86.34,750.0,4327.0
1982-08-09,86.23,86.56,86.07,86.55,,86.55,762.0,4200.0
1982-08-10,86.6,86.62,86.43,86.43,,86.43,557.0,4193.0
1982-08-11,86.4,86.52,86.38,86.41,,86.41,361.0,4122.0
1982-08-12,86.44,86.85,86.39,86.83,,86.83,815.0,3998.0
1982-08-13,86.93,87.19,86.9,87.1,,87.1,1158.0,4079.0
1982-08-16,87.45,88.04,87.45,87.7,,87.7,1552.0,4048.0
1982-08-17,87.65,88.3,87.6,88.22,,88.22,1720.0,4069.0
1982-08-18,88.72,89.09,88.54,88.7,,88.7,1861.0,3711.0
1982-08-19,88.7,88.96,88.51,88.8,,88.8,1425.0,3785.0
1982-08-20,89.04,89.4,89.0,89.28,,89.28,1235.0,3824.0
1982-08-23,89.1,89.11,88.98,89.01,,89.01,541.0,3752.0
1982-08-24,88.97,89.19,88.85,89.18,,89.18,533.0,3622.0
1982-08-25,89.12,89.15,88.95,88.98,,88.98,334.0,3625.0
1982-08-26,88.92,89.15,88.84,88.91,,88.91,671.0,3535.0
1982-08-27,88.8,88.8,88.3,88.31,,88.31,828.0,3580.0
1982-08-30,88.2,88.54,88.19,88.5,,88.5,395.0,3482.0
1982-08-31,88.43,88.55,88.33,88.5,,88.5,458.0,3390.0
1982-09-01,88.4,88.43,88.17,88.2,,88.2,953.0,3201.0
1982-09-02,88.27,88.5,88.26,88.39,,88.39,419.0,3246.0
1982-09-03,88.4,88.7,88.36,88.57,,88.57,883.0,2802.0
1982-09-07,88.53,88.61,88.48,88.59,,88.59,609.0,2683.0
